Location,Place,Latitude,Longitude,Caste,Address,Colors
நெற்குன்றம்,Madhavaram,13.2359597,80.1634585,Nayakkar,Madhavaram_13.2359597_80.1634585_Nayakkar,4400
பம்மதுகுளம்,Madhavaram,13.2117821,80.152239,Yadav,Madhavaram_13.1714_80.2455_Yadav,7400
பழைய எருமைவெட்டி பாளையம்,Madhavaram,13.2527339,80.1847167,Others,Madhavaram_13.2527339_80.1847167_Others,8400
பாடியநல்லூர்,Madhavaram,13.1657007,80.1456496,Adi Dravidar,Madhavaram_13.1657007_80.1456496_Adi Dravidar,400
புதிய எருமைவெட்டிப்பாளையம்,Madhavaram,13.2489791,80.1390781,Mudaliar,Madhavaram_13.2489791_80.1390781_Mudaliar,2400
பூதூர்,Madhavaram,13.1989003,80.1764778,Reddy,Madhavaram_13.1989003_80.1764778_Reddy,4900
பெருங்காவூர்,Madhavaram,13.2328,80.1121,Nayakkar,Madhavaram_13.2328_80.1121_Nayakkar,4400
பொத்தூர்,Madhavaram,13.1584711,80.2036881,Yadav,Madhavaram_13.1584711_80.2036881_Yadav,7400
புழல்,Madhavaram,13.2372,80.2042,Muslim,Madhavaram_13.2372_80.2042_Muslim,2900
ஆங்காடு,Madhavaram,13.2081818,80.2126109,Vanniar,Madhavaram_13.2081818_80.2126109_Vanniar,6400
கும்மனூர்,Madhavaram,13.1602,80.1512,nil,Madhavaram_13.1602_80.1512_nil,7900
அலமாதி,Madhavaram,13.2046265,80.1174039,Naidu,Madhavaram_13.2046265_80.1174039_Naidu,3900
ஆட்டந்தாங்கல்,Madhavaram,13.2182993,80.1791368,Adi Dravidar,Madhavaram_13.2182993_80.1791368_Adi Dravidar,400
ஆட்டந்தாங்கல் நல்லூர்,Madhavaram,13.2037471,80.1695326,Naidu,Madhavaram_13.2037471_80.1695326_Naidu,3900
ஆத்தூர்,Madhavaram,13.1887,80.1512,Naidu,Madhavaram_13.1887_80.1512_Naidu,3900
ஒரக்காடு,Madhavaram,13.2441069,8015223903,Naidu,Madhavaram_13.1714_80.2455_Naidu,3900
காரனோடை,Madhavaram,13.2468315,80.18654,Nadar,Madhavaram_13.2468315_80.18654_Nadar,3400
சோத்துபெரும்பேடு,Madhavaram,13.2506321,80.1609104,ST,Madhavaram_13.2506321_80.1609104_ST,5400
சோழவரம்,Madhavaram,13.213,80.1903,Chettiar,Madhavaram_13.213_80.1903_Chettiar,900
நல்லூர்,Madhavaram,13.1602,80.1622,Yadav,Madhavaram_13.1602_80.1622_Yadav,7400
நெற்குன்றம்,Madhavaram,13.2359597,80.1634585,Christian,Madhavaram_13.2359597_80.1634585_Christian,1400
பம்மதுகுளம்,Madhavaram,13.2117821,80.152239,Nadar,Madhavaram_13.1714_80.2455_Nadar,3400
பழைய எருமைவெட்டி பாளையம்,Madhavaram,13.2527339,80.1847167,Nayakkar,Madhavaram_13.2527339_80.1847167_Nayakkar,4400
பாடியநல்லூர்,Madhavaram,13.1657007,80.1456496,Naidu,Madhavaram_13.1657007_80.1456496_Naidu,3900
புதிய எருமைவெட்டிப்பாளையம்,Madhavaram,13.2489791,80.1390781,Vanniar,Madhavaram_13.2489791_80.1390781_Vanniar,6400
பூதூர்,Madhavaram,13.1989003,80.1764778,Nayakkar,Madhavaram_13.1989003_80.1764778_Nayakkar,4400
பெருங்காவூர்,Madhavaram,13.2328,80.1121,Reddy,Madhavaram_13.2328_80.1121_Reddy,4900
பொத்தூர்,Madhavaram,13.1584711,80.2036881,Chettiar,Madhavaram_13.1584711_80.2036881_Chettiar,900
புழல்,Madhavaram,13.2372,80.2042,Muslim,Madhavaram_13.2372_80.2042_Muslim,2900
ஆங்காடு,Madhavaram,13.2081818,80.2126109,Chettiar,Madhavaram_13.2081818_80.2126109_Chettiar,900
கும்மனூர்,Madhavaram,13.1602,80.1512,nil,Madhavaram_13.1602_80.1512_nil,7900
